possession_id,game_id,period,time_remaining,man_state,is_man_up,empty_net,shooter_x,shooter_y,distance_m,angle_deg,defender_count,goalie_distance_m,goalie_lateral,attack_type,shot_type,shooter_handedness,player_number,possession_passes,shot_result,video_file,video_timestamp_mmss,distance_bin_model,dist_x_manup_model,dist_x_defbin_model
1_P0001,1,1,06:50,6v6,False,False,3.7007,3.4998,5.093503757729055,46.598185769256816,1,1.0,right,counter,standard,right,7,1,goal,IMG_6154.MOV,00:18,4-6,4-6|MU0,4-6|1
1_P0002,1,1,06:17,6v6,False,False,2.4488,7.364,7.760484356017993,18.39385784192125,1,1.0,center,perimeter,standard,right,11,0,goal,IMG_6155.MOV,00:39,6-8,6-8|MU0,6-8|1
1_P0003,1,1,05:51,6v6,False,False,3.957,5.9338,7.1321687753445655,33.69764297295745,2,1.5,right,counter,standard,right,7,1,post/bar,IMG_6156.MOV,00:26,6-8,6-8|MU0,6-8|2
1_P0006,1,1,03:33,6v6,False,False,3.8437,2.5482,4.611654034074976,56.457414293125915,1,1.0,right,perimeter,standard,right,4,9,goal,IMG_6162.MOV,00:31,4-6,4-6|MU0,4-6|1
1_P0007,1,1,02:55,6v6,False,False,4.0352,3.7012,5.475556636543905,47.47206894080216,1,0.5,right,perimeter,standard,right,4,6,blocked (GK),IMG_6164.MOV,00:17,4-6,4-6|MU0,4-6|1
1_P0008,1,1,02:44,6v6,False,False,0.75,0.4,7.81,39.81,1,0.5,right,perimeter,lob,right,4,2,post/bar,IMG_6165.MOV,00:11,6-8,6-8|MU0,6-8|1
1_P0009,1,1,02:27,6v6,False,False,0.4,0.4666666667,7.28,-15.95,1,1.0,center,perimeter,standard,right,5,3,missed,IMG_6166.MOV,00:16,6-8,6-8|MU0,6-8|1
1_P0011,1,1,01:08,6v6,False,False,0.55,0.2,3.162,18.43,0,1.0,right,broken play,standard,right,4,5,goal,IMG_6169.MOV,00:24,2-4,2-4|MU0,2-4|0
1_P0012,1,1,00:38,6v6,False,False,0.45,0.06666666667,1.414,-45.0,2,0.0,right,broken play,tip/deflection,right,3,4,goal,IMG_6171.MOV,00:17,0-2,0-2|MU0,0-2|2
1_P0013,1,2,06:35,6v6,False,False,0.85,0.2,7.616,66.8,2,0.5,right,perimeter,lob,right,7,6,missed,IMG_6173.MOV,00:34,6-8,6-8|MU0,6-8|2
1_P0014,1,2,05:54,6v6,False,False,0.8,0.2,6.708,63.43,1,0.5,right,perimeter,standard,right,7,2,missed,IMG_6175.MOV,00:16,6-8,6-8|MU0,6-8|1
1_P0015,1,2,05:28,6v6,False,False,0.4,0.2666666667,4.472,-26.57,3,1.0,left,set,standard,right,3,3,missed,IMG_6177.MOV,00:13,4-6,4-6|MU0,4-6|3
1_P0016,1,2,04:48,6v6,False,False,0.6,0.3333333333,5.385,21.8,1,1.0,center,perimeter,standard,right,4,3,blocked (GK),IMG_6179.MOV,00:10,4-6,4-6|MU0,4-6|1
1_P0017,1,2,03:59,6v6,False,False,0.5,0.1333333333,2.0,0.0,2,1.0,center,set,standard,right,3,4,goal,IMG_6181.MOV,00:20,0-2,0-2|MU0,0-2|2
1_P0018,1,2,03:06,6v6,False,False,0.2,0.2666666667,7.211,-56.31,1,1.0,left,perimeter,skip,right,12,4,goal,IMG_6183.MOV,00:26,6-8,6-8|MU0,6-8|1
1_P0019,1,2,02:28,6v6,False,False,0.35,0.3333333333,5.831,-30.96,2,1.0,left,perimeter,skip,right,14,3,post/bar,IMG_6184.MOV,00:38,4-6,4-6|MU0,4-6|2
1_P0020,1,2,01:38,6v6,False,False,0.25,0.2,5.831,-59.04,1,0.5,left,perimeter,standard,right,12,2,blocked (GK),IMG_6186.MOV,00:41,4-6,4-6|MU0,4-6|1
1_P0021,1,3,06:21,6v6,False,False,0.8,0.4,8.485,45.0,1,1.0,right,perimeter,standard,right,4,3,field block,IMG_6189.MOV,00:10,8-10,8-10|MU0,8-10|1
1_P0022,1,3,05:35,6v6,False,False,0.7,0.2666666667,5.657,45.0,2,1.0,right,perimeter,lob,right,4,1,goal,IMG_6190.MOV,00:15,4-6,4-6|MU0,4-6|2
1_P0023,1,3,04:21,6v6,False,False,0.55,0.4,6.083,9.46,1,1.5,center,perimeter,standard,right,7,2,blocked (GK),IMG_6194.MOV,00:09,6-8,6-8|MU0,6-8|1
1_P0024,1,3,03:44,6v6,False,False,0.35,0.2666666667,5.0,-36.87,1,1.0,left,counter,skip,right,12,0,post/bar,IMG_6196.MOV,00:06,4-6,4-6|MU0,4-6|1
1_P0025,1,3,03:08,6v6,False,False,0.4,0.1333333333,2.828,-45.0,1,1.5,left,counter,skip,right,3,1,goal,IMG_6197.MOV,00:27,2-4,2-4|MU0,2-4|1
1_P0026,1,4,06:31,6v6,False,False,0.55,0.2,3.162,18.43,1,1.5,right,counter,lob,right,3,1,goal,IMG_6200.MOV,00:05,2-4,2-4|MU0,2-4|1
1_P0027,1,4,05:53,6v6,False,False,0.45,0.1333333333,2.236,-26.57,2,1.0,left,set,standard,right,3,5,goal,IMG_6202.MOV,00:15,2-4,2-4|MU0,2-4|2
1_P0028,1,4,05:24,6v6,False,False,0.3,0.1333333333,4.472,-63.43,1,0.5,left,perimeter,skip,right,6,2,missed,IMG_6204.MOV,00:23,4-6,4-6|MU0,4-6|1
1_P0029,1,4,04:28,6v6,False,False,0.55,0.1333333333,2.236,26.57,0,1.0,center,counter,standard,right,4,1,goal,IMG_6207.MOV,00:10,2-4,2-4|MU0,2-4|0
10_P0001,10,,,6v5,True,False,0.65,0.266667,5.0,36.87,1,0.5,right,man-up,standard,right,19,7,post/bar,IMG_5045.MOV,00:16,4-6,4-6|MU1,4-6|1
10_P0002,10,,,6v5,True,False,0.5,0.4,6.0,0.0,1,0.5,center,man-up,standard,right,5,3,goal,IMG_5045.MOV,00:27,4-6,4-6|MU1,4-6|1
10_P0003,10,,,6v6,False,False,0.65,0.4,6.708,26.57,1,1.5,right,perimeter,lob,right,11,3,goal,IMG_5047.MOV,00:11,6-8,6-8|MU0,6-8|1
10_P0004,10,,,6v6,False,False,0.5,0.266667,4.0,0.0,0,1.5,center,counter,standard,right,10,0,goal,IMG_5053.MOV,00:04,2-4,2-4|MU0,2-4|0
10_P0005,10,,,6v6,False,False,0.5,0.2,3.0,0.0,0,2.0,center,counter,standard,right,11,1,goal,IMG_5056.MOV,00:21,2-4,2-4|MU0,2-4|0
10_P0006,10,,,6v6,False,False,0.45,0.266667,4.123,-14.04,0,2.0,left,counter,standard,right,11,0,blocked (GK),IMG_5057.MOV,00:23,4-6,4-6|MU0,4-6|0
10_P0007,10,,,6v6,False,False,0.5,0.4,6.0,0.0,1,0.5,center,perimeter,standard,right,8,5,goal,IMG_5059.MOV,00:33,4-6,4-6|MU0,4-6|1
10_P0008,10,,,6v6,False,False,0.35,0.2,4.243,-45.0,0,0.5,center,counter,standard,right,11,1,goal,IMG_5060.MOV,00:32,4-6,4-6|MU0,4-6|0
10_P0009,10,,,6v5,True,False,0.75,0.133333,5.385,68.2,1,0.5,right,man-up,standard,right,5,8,post/bar,IMG_5063.MOV,00:34,4-6,4-6|MU1,4-6|1
10_P0010,10,,,6v5,True,False,0.65,0.266667,5.0,36.87,2,0.5,left,man-up,skip,right,10,2,goal,IMG_5063.MOV,00:39,4-6,4-6|MU1,4-6|2
10_P0011,10,,,6v6,False,False,0.3,0.133333,4.472,-63.44,1,0.5,left,perimeter,standard,right,9,5,post/bar,IMG_5065.MOV,00:31,4-6,4-6|MU0,4-6|1
10_P0012,10,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.0,center,5m penalty,skip,right,8,0,blocked (GK),IMG_5066.MOV,00:01,4-6,4-6|MU0,4-6|0
10_P0013,10,,,6v6,False,False,0.45,0.266667,4.123,-14.04,1,0.5,left,broken play,standard,right,10,2,goal,IMG_5069.MOV,00:15,4-6,4-6|MU0,4-6|1
10_P0014,10,,,6v6,False,False,0.6,0.4,6.325,18.43,1,1.0,right,perimeter,standard,right,8,5,goal,IMG_5071.MOV,00:27,6-8,6-8|MU0,6-8|1
10_P0015,10,,,6v5,True,False,0.5,0.4,6.0,0.0,1,1.0,center,man-up,standard,right,12,10,missed,IMG_5074.MOV,00:56,4-6,4-6|MU1,4-6|1
10_P0016,10,,,6v6,False,False,0.6,0.2,3.606,33.69,1,1.5,right,counter,lob,right,9,1,field block,IMG_5078.MOV,00:37,2-4,2-4|MU0,2-4|1
10_P0017,10,,,6v6,False,False,0.35,0.266667,5.0,-36.87,1,0.5,left,broken play,standard,right,11,6,field block,IMG_5081.MOV,00:34,4-6,4-6|MU0,4-6|1
10_P0018,10,,,6v6,False,False,0.4,0.133333,2.828,-45.0,1,1.0,left,counter,standard,right,5,1,goal,IMG_5083.MOV,00:07,2-4,2-4|MU0,2-4|1
10_P0019,10,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,1.0,center,5m penalty,standard,right,11,0,goal,IMG_5086.MOV,00:04,4-6,4-6|MU0,4-6|0
10_P0020,10,,,6v6,False,False,0.6,0.133333,2.828,45.0,0,0.5,right,broken play,standard,right,9,5,goal,IMG_5088.MOV,00:30,2-4,2-4|MU0,2-4|0
10_P0021,10,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.5,center,5m penalty,skip,right,10,0,goal,IMG_5091.MOV,00:02,4-6,4-6|MU0,4-6|0
10_P0022,10,,,6v5,True,False,0.55,0.266667,4.123,14.04,0,0.5,center,man-up,standard,right,15,7,goal,IMG_5094.MOV,00:18,4-6,4-6|MU1,4-6|0
10_P0023,10,,,6v6,False,False,0.55,0.266667,4.123,14.04,1,0.5,left,broken play,lob,right,11,0,blocked (GK),IMG_5100.MOV,00:11,4-6,4-6|MU0,4-6|1
10_P0024,10,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.5,center,5m penalty,skip,right,10,0,blocked (GK),IMG_5103.MOV,00:01,4-6,4-6|MU0,4-6|0
10_P0025,10,,,6v6,False,False,0.7,0.066667,4.123,75.96,1,0.5,right,perimeter,standard,right,12,3,post/bar,IMG_5107.MOV,00:20,4-6,4-6|MU0,4-6|1
10_P0026,10,,,6v6,False,False,0.55,0.2,3.162,18.43,2,0.5,left,counter,standard,right,9,1,goal,IMG_5111.MOV,00:13,2-4,2-4|MU0,2-4|2
10_P0027,10,,,6v6,False,False,0.3,0.2,5.0,-53.13,1,0.5,left,perimeter,standard,right,12,3,goal,IMG_5113.MOV,00:20,4-6,4-6|MU0,4-6|1
11_P0001,11,1,,6v6,False,False,0.65,0.133333,3.606,56.31,0,0.5,right,counter,standard,right,9,0,goal,IMG_2070.MOV,00:05,2-4,2-4|MU0,2-4|0
11_P0002,11,,,6v6,False,False,0.3,0.266667,5.657,-45.0,1,0.5,left,perimeter,lob,right,20,2,goal,IMG_2071.MOV,00:39,4-6,4-6|MU0,4-6|1
11_P0003,11,,,6v6,False,False,0.8,0.4,8.485,45.0,1,0.5,right,perimeter,standard,right,10,3,missed,IMG_2073.MOV,00:20,8-10,8-10|MU0,8-10|1
11_P0004,11,,,6v6,False,False,0.75,0.333333,7.071,45.0,1,0.5,right,perimeter,standard,right,13,4,missed,IMG_2077.MOV,00:39,6-8,6-8|MU0,6-8|1
11_P0005,11,,,6v5,True,False,0.4,0.133333,2.828,-45.0,1,0.0,left,man-up,standard,right,9,2,goal,IMG_2078.MOV,00:42,2-4,2-4|MU1,2-4|1
11_P0006,11,,,6v6,False,False,0.55,0.2,3.162,18.43,3,0.0,right,set,standard,right,9,6,goal,IMG_2081.MOV,00:28,2-4,2-4|MU0,2-4|3
11_P0007,11,,,6v5,True,False,0.8,0.266667,7.211,56.31,1,0.0,right,man-up,standard,right,10,2,missed,IMG_2084.MOV,00:39,6-8,6-8|MU1,6-8|1
11_P0008,11,,,6v6,False,False,0.25,0.133333,5.385,-68.2,1,0.5,left,perimeter,standard,right,20,3,post/bar,IMG_2088.MOV,00:17,4-6,4-6|MU0,4-6|1
11_P0009,11,,,6v6,False,False,0.5,0.466667,7.0,0.0,1,0.5,center,perimeter,standard,right,2,5,goal,IMG_2093.MOV,00:17,6-8,6-8|MU0,6-8|1
11_P0010,11,,,6v5,True,False,0.35,0.4,6.708,-26.57,1,0.5,left,man-up,standard,right,20,5,missed,IMG_2096.MOV,01:08,6-8,6-8|MU1,6-8|1
11_P0011,11,,,6v5,True,False,0.7,0.133333,4.472,63.44,1,0.5,right,man-up,standard,right,9,4,goal,IMG_2098.MOV,00:39,4-6,4-6|MU1,4-6|1
11_P0012,11,4,,6v6,False,False,1.0,0.8,15.62,39.81,1,0.5,center,perimeter,standard,right,10,2,goal,IMG_2102.MOV,00:09,15+,15+|MU0,15+|1
12_P0001,12,,,6v6,False,False,1.0,0.733,14.862,42.29,1,1.5,center,perimeter,standard,right,4,2,goal,IMG_6444.MOV,00:18,10-15,10-15|MU0,10-15|1
12_P0002,12,,,6v6,False,False,0.25,0.733,12.078,-24.45,1,1.5,left,perimeter,skip,right,7,1,goal,IMG_6421.MOV,00:28,10-15,10-15|MU0,10-15|1
12_P0003,12,,,6v6,False,False,0.5,0.667,10.005,0.0,1,1.0,center,perimeter,standard,right,6,2,post/bar,IMG_6471.MOV,00:34,10-15,10-15|MU0,10-15|1
12_P0004,12,,,6v6,False,False,0.2,0.267,7.214,-56.28,1,1.0,left,perimeter,standard,left,8,0,blocked (GK),IMG_6462.MOV,00:15,6-8,6-8|MU0,6-8|1
13_P0001,13,,,6v6,False,False,0.5,1.0,15.0,0.0,1,0.5,center,perimeter,standard,right,3,0,blocked (GK),IMG_6394.MOV,00:04,10-15,10-15|MU0,10-15|1
13_P0002,13,,,6v6,False,False,0.5,0.667,10.005,0.0,1,0.5,center,perimeter,standard,right,3,0,goal,IMG_6391.MOV,00:18,10-15,10-15|MU0,10-15|1
14_P0001,14,,,6v6,False,False,0.8,0.133,6.323,71.61,1,1.0,center,perimeter,skip,right,7,5,goal,IMG_0077.MOV,00:21,6-8,6-8|MU0,6-8|1
15_P0001,15,,,6v5,True,False,0.8,0.2,6.708,63.43,0,0.5,center,man-up,standard,right,7,8,field block,IMG_0131.MOV,00:37,6-8,6-8|MU1,6-8|0
15_P0002,15,,,6v6,False,False,0.3,0.133,4.47,-63.49,1,0.5,left,perimeter,skip,right,10,5,goal,IMG_0135.MOV,00:13,4-6,4-6|MU0,4-6|1
2_P0001,2,1,06:04,6v6,False,False,0.65,0.4666666667,7.616,23.2,1,1.0,right,counter,standard,right,7,0,goal,IMG_6117.MOV,00:07,6-8,6-8|MU0,6-8|1
2_P0002,2,1,06:33,6v6,False,False,0.5,0.3333333333,5.0,0.0,1,2.0,center,counter,lob,right,3,1,goal,IMG_6115.MOV,00:06,4-6,4-6|MU0,4-6|1
2_P0003,2,1,05:29,6v6,False,False,0.55,0.4,6.083,9.46,0,1.0,center,counter,skip,right,3,1,missed,IMG_6119.MOV,00:08,6-8,6-8|MU0,6-8|0
2_P0004,2,1,04:33,6v6,False,False,0.55,0.2,3.162,18.43,1,1.5,center,counter,lob,right,4,1,goal,IMG_6123.MOV,00:05,2-4,2-4|MU0,2-4|1
2_P0005,2,1,03:29,6v6,False,False,0.5,0.4,6.0,0.0,0,0.5,center,perimeter,standard,right,4,11,blocked (GK),IMG_6125.MOV,00:43,4-6,4-6|MU0,4-6|0
2_P0006,2,1,02:50,6v6,False,False,0.6,0.2,3.606,33.69,0,2.0,right,counter,lob,right,7,0,goal,IMG_6127.MOV,00:06,2-4,2-4|MU0,2-4|0
2_P0007,2,2,06:43,6v6,False,False,0.65,0.2666666667,5.0,36.87,1,0.5,right,set,skip,right,6,5,blocked (GK),IMG_6128.MOV,00:22,4-6,4-6|MU0,4-6|1
2_P0009,2,2,05:54,6v6,False,False,0.75,0.2,5.831,59.04,1,2.0,right,counter,lob,right,6,1,goal,IMG_6130.MOV,00:35,4-6,4-6|MU0,4-6|1
2_P0010,2,2,05:12,6v6,False,False,0.5,0.3333333333,5.0,0.0,0,2.0,center,counter,lob,right,3,1,goal,IMG_6132.MOV,00:05,4-6,4-6|MU0,4-6|0
2_P0012,2,2,03:45,6v6,False,False,0.55,0.1333333333,2.236,26.57,1,1.5,right,counter,standard,right,7,1,goal,IMG_6136.MOV,00:11,2-4,2-4|MU0,2-4|1
2_P0013,2,3,06:35,6v6,False,False,0.6,0.2,3.606,33.69,2,0.5,right,set,standard,right,7,4,missed,IMG_6137.MOV,00:31,2-4,2-4|MU0,2-4|2
2_P0014,2,3,05:46,6v6,False,False,0.45,0.4666666667,7.071,-8.13,1,1.0,left,perimeter,standard,right,5,3,post/bar,IMG_6139.MOV,00:21,6-8,6-8|MU0,6-8|1
2_P0017,2,3,04:26,6v6,False,False,0.6,0.1333333333,2.828,45.0,1,1.0,center,counter,standard,right,4,1,goal,IMG_6141.MOV,00:20,2-4,2-4|MU0,2-4|1
2_P0018,2,3,03:53,6v6,False,False,0.6,0.1333333333,2.828,45.0,1,1.0,right,perimeter,standard,right,7,4,goal,IMG_6142.MOV,00:31,2-4,2-4|MU0,2-4|1
2_P0019,2,4,06:49,6v6,False,False,0.4,0.2,3.606,-33.69,2,2.0,left,broken play,lob,right,12,3,post/bar,IMG_6143.MOV,00:14,2-4,2-4|MU0,2-4|2
2_P0020,2,4,06:12,6v6,False,False,0.5,0.2,3.0,0.0,1,1.5,center,counter,standard,right,3,3,blocked (GK),IMG_6144.MOV,00:32,2-4,2-4|MU0,2-4|1
2_P0022,2,4,05:23,6v6,False,False,0.5,0.06666666667,1.0,0.0,0,0.5,center,counter,standard,right,5,1,goal,IMG_6146.MOV,00:35,0-2,0-2|MU0,0-2|0
2_P0024,2,4,04:13,6v6,False,False,0.65,0.06666666667,3.162,71.57,0,1.0,center,counter,standard,right,4,1,goal,IMG_6150.MOV,00:24,2-4,2-4|MU0,2-4|0
3_P0001,3,1,06:46,6v6,False,False,0.55,0.4666666667,7.071,8.13,1,0.5,center,perimeter,standard,right,4,4,blocked (GK),IMG_0157.MOV,00:27,6-8,6-8|MU0,6-8|1
3_P0002,3,1,06:10,6v6,False,False,0.35,0.3333333333,5.831,-30.96,1,0.5,left,counter,standard,right,6,0,goal,IMG_0159.MOV,00:02,4-6,4-6|MU0,4-6|1
3_P0004,3,1,04:47,6v6,False,False,0.5,0.4,6.0,0.0,1,0.5,center,perimeter,standard,right,4,4,goal,IMG_0165.MOV,00:21,4-6,4-6|MU0,4-6|1
3_P0005,3,1,04:04,6v6,False,False,0.35,0.2,4.243,-45.0,2,0.5,left,set,standard,left,2,4,goal,IMG_0168.MOV,00:17,4-6,4-6|MU0,4-6|2
3_P0006,3,2,06:13,6v6,False,False,0.55,0.2666666667,4.123,14.04,1,1.0,center,broken play,tip/deflection,right,5,3,missed,IMG_0172.MOV,00:15,4-6,4-6|MU0,4-6|1
3_P0007,3,2,05:11,6v6,False,False,0.35,0.4,6.708,-26.57,2,0.5,left,perimeter,standard,right,6,1,field block,IMG_0176.MOV,00:08,6-8,6-8|MU0,6-8|2
