possession_id,game_id,period,time_remaining,man_state,is_man_up,empty_net,shooter_x,shooter_y,distance_m,angle_deg,defender_count,goalie_distance_m,goalie_lateral,attack_type,shot_type,shooter_handedness,player_number,possession_passes,shot_result,video_file,video_timestamp_mmss,distance_bin_model,dist_x_manup_model,dist_x_defbin_model
3_P0008,3,2,05:09,6v6,False,False,0.5,0.3333333333,5.0,0.0,0,0.0,center,5m penalty,standard,right,6,0,goal,IMG_0177.MOV,00:04,4-6,4-6|MU0,4-6|0
3_P0009,3,2,03:21,6v6,False,False,0.3,0.2,5.0,-53.13,1,0.5,left,perimeter,skip,left,2,10,goal,IMG_0179.MOV,00:32,4-6,4-6|MU0,4-6|1
3_P0010,3,3,06:36,6v6,False,False,0.75,0.1333333333,5.385,68.2,1,0.5,center,perimeter,standard,right,7,6,blocked (GK),IMG_0181.MOV,00:31,4-6,4-6|MU0,4-6|1
3_P0011,3,3,05:48,6v6,False,False,0.75,0.2,5.831,59.04,1,0.5,right,perimeter,standard,right,10,5,blocked (GK),IMG_0183.MOV,00:30,4-6,4-6|MU0,4-6|1
3_P0014,3,3,04:24,6v4,True,False,0.6,0.2,3.606,33.69,1,1.0,right,man-up,standard,right,4,2,goal,IMG_0185.MOV,00:48,2-4,2-4|MU1,2-4|1
3_P0015,3,3,03:17,6v6,False,False,0.2,0.4,8.485,-45.0,0,0.5,right,perimeter,standard,right,7,2,missed,IMG_0187.MOV,00:11,8-10,8-10|MU0,8-10|0
3_P0016,3,3,02:37,6v6,False,False,0.75,0.1333333333,5.385,68.2,0,0.5,right,perimeter,skip,right,7,3,goal,IMG_0189.MOV,00:20,4-6,4-6|MU0,4-6|0
3_P0017,3,4,06:09,6v6,False,False,0.65,0.06666666667,3.162,71.57,1,0.5,center,broken play,tip/deflection,right,4,3,field block,IMG_0196.MOV,00:18,2-4,2-4|MU0,2-4|1
3_P0018,3,4,04:44,6v6,False,False,0.5,0.1333333333,2.0,0.0,1,0.5,left,set,tip/deflection,left,2,3,blocked (GK),IMG_0200.MOV,00:19,0-2,0-2|MU0,0-2|1
3_P0020,3,4,03:23,6v6,False,False,0.5,0.4666666667,7.0,0.0,1,1.5,center,perimeter,standard,right,4,1,blocked (GK),IMG_0204.MOV,00:10,6-8,6-8|MU0,6-8|1
4_P0001,4,1,,6v6,False,False,0.5,0.4,6.0,0.0,1,0.5,center,perimeter,skip,right,2,3,blocked (GK),IMG_2598.MOV,00:21,4-6,4-6|MU0,4-6|1
4_P0002,4,1,,6v6,False,False,0.55,0.2,3.162,18.43,2,0.5,right,set,skip,right,10,4,goal,IMG_2600.MOV,00:16,2-4,2-4|MU0,2-4|2
4_P0004,4,1,,6v5,True,False,0.4,0.4,6.325,-18.43,1,0.5,left,man-up,skip,right,2,3,field block,IMG_2604.MOV,00:34,6-8,6-8|MU1,6-8|1
4_P0005,4,1,,6v6,False,False,0.3,0.2666666667,5.657,-45.0,2,0.5,left,perimeter,skip,right,2,8,field block,IMG_2606.MOV,00:21,4-6,4-6|MU0,4-6|2
4_P0006,4,1,,6v6,False,False,0.6,0.5333333333,8.246,14.04,1,0.5,right,perimeter,standard,right,3,4,field block,IMG_2608.MOV,00:31,8-10,8-10|MU0,8-10|1
4_P0008,4,2,,6v6,False,False,0.5,0.2666666667,4.0,0.0,2,0.5,center,set,standard,right,10,2,post/bar,IMG_2612.MOV,00:16,2-4,2-4|MU0,2-4|2
4_P0009,4,2,,6v6,False,False,0.45,0.1333333333,2.236,-26.57,1,1.0,left,counter,standard,right,10,1,blocked (GK),IMG_2613.MOV,00:15,2-4,2-4|MU0,2-4|1
4_P0012,4,2,,6v6,False,False,0.4,0.4,6.325,-18.43,1,0.5,left,perimeter,skip,right,2,4,goal,IMG_2618.MOV,00:19,6-8,6-8|MU0,6-8|1
4_P0014,4,3,,6v6,False,False,0.45,0.2666666667,4.123,-14.04,0,0.5,center,perimeter,standard,right,9,3,post/bar,IMG_2622.MOV,00:43,4-6,4-6|MU0,4-6|0
4_P0015,4,3,,6v6,False,False,0.6,0.2666666667,4.472,26.57,2,0.5,right,set,standard,right,12,6,field block,IMG_2624.MOV,00:28,4-6,4-6|MU0,4-6|2
4_P0017,4,3,,6v6,False,False,0.75,0.4,7.81,39.81,1,0.5,right,perimeter,lob,right,3,1,post/bar,IMG_2626.MOV,00:45,6-8,6-8|MU0,6-8|1
4_P0018,4,3,,6v7,False,True,0.5,1.0,15.0,0.0,0,,,other,standard,right,1,0,goals,IMG_2628.MOV,00:14,10-15,10-15|MU0,10-15|0
4_P0020,4,4,,6v6,False,False,0.25,0.1333333333,5.385,-68.2,1,0.0,left,perimeter,standard,right,9,3,goal,IMG_2633.MOV,00:23,4-6,4-6|MU0,4-6|1
4_P0021,4,4,,6v6,False,False,0.85,0.2666666667,8.062,60.26,1,0.5,center,perimeter,standard,right,3,4,field block,IMG_2635.MOV,00:19,8-10,8-10|MU0,8-10|1
4_P0022,4,4,,6v6,False,False,0.2,0.2,6.708,-63.43,1,0.5,center,perimeter,standard,right,5,6,missed,IMG_2636.MOV,00:37,6-8,6-8|MU0,6-8|1
4_P0023,4,4,,6v6,False,False,0.5,0.4,6.0,0.0,1,0.5,center,perimeter,standard,right,3,5,blocked (GK),IMG_2638.MOV,00:31,4-6,4-6|MU0,4-6|1
4_P0024,4,4,,6v6,False,False,0.55,0.1333333333,2.236,26.57,1,0.5,right,broken play,standard,right,12,0,blocked (GK),IMG_2638.MOV,00:34,2-4,2-4|MU0,2-4|1
4_P0025,4,4,,6v6,False,False,0.45,0.06666666667,1.414,-45.0,1,0.5,right,broken play,other,right,5,0,goal,IMG_2638.MOV,00:35,0-2,0-2|MU0,0-2|1
5_P0002,5,,,6v6,False,False,0.35,0.4,6.708,-26.57,1,1.0,left,perimeter,standard,right,15,7,missed,IMG_2645.MOV,00:31,6-8,6-8|MU0,6-8|1
5_P0010,5,,,6v6,False,False,0.2,0.4666666667,9.22,-40.6,1,1.0,left,perimeter,standard,right,15,3,blocked (GK),IMG_2658.MOV,00:45,8-10,8-10|MU0,8-10|1
5_P0012,5,,,6v5,True,False,0.75,0.2666666667,6.403,51.34,1,0.5,right,man-up,skip,right,3,9,post/bar,IMG_2663.MOV,00:55,6-8,6-8|MU1,6-8|1
5_P0014,5,,,6v6,False,False,0.45,0.2,3.162,-18.43,1,1.5,center,counter,skip,right,15,1,goal,IMG_2667.MOV,00:09,2-4,2-4|MU0,2-4|1
5_P0016,5,,,6v6,False,False,0.5,0.4666666667,7.0,0.0,1,1.0,center,perimeter,standard,right,5,6,blocked (GK),IMG_2675.MOV,00:36,6-8,6-8|MU0,6-8|1
5_P0017,5,,,6v6,False,False,0.35,0.4,6.708,-26.57,1,1.0,left,perimeter,standard,right,15,2,goal,IMG_2677.MOV,00:20,6-8,6-8|MU0,6-8|1
5_P0018,5,,,6v6,False,False,0.7,0.2,5.0,53.13,1,1.0,right,counter,standard,right,2,0,blocked (GK),IMG_2678.MOV,00:42,4-6,4-6|MU0,4-6|1
5_P0019,5,,,6v6,False,False,0.5,0.06666666667,1.0,0.0,0,1.0,right,broken play,tip/deflection,right,12,0,goal,IMG_2678.MOV,00:44,0-2,0-2|MU0,0-2|0
5_P0020,5,,,6v6,False,False,0.7,0.4,7.211,33.69,0,1.0,right,perimeter,standard,right,12,2,blocked,IMG_2680.MOV,00:18,6-8,6-8|MU0,6-8|0
5_P0023,5,,,6v6,False,False,0.5,0.4,6.0,0.0,1,0.0,center,perimeter,skip,right,5,5,goal,IMG_2687.MOV,00:26,4-6,4-6|MU0,4-6|1
6_P0001,6,1,,6v6,False,False,0.6,0.3333333333,5.385,21.8,0,1.0,right,broken play,skip,right,14,0,blocked (GK),IMG_4559.MOV,00:52,4-6,4-6|MU0,4-6|0
6_P0003,6,,,6v6,False,False,0.4,0.4666666667,7.28,-15.95,1,0.0,center,perimeter,standard,right,8,2,blocked (GK),IMG_4561.MOV,00:54,6-8,6-8|MU0,6-8|1
6_P0004,6,,,6v5,True,False,0.7,0.1333333333,4.472,63.43,1,0.5,right,man-up,skip,right,8,7,goal,IMG_4564.MOV,00:50,4-6,4-6|MU1,4-6|1
6_P0005,6,,,6v6,False,False,0.6,0.1333333333,2.828,45.0,1,0.5,center,set,standard,right,8,5,blocked (GK),IMG_4566.MOV,00:34,2-4,2-4|MU0,2-4|1
6_P0006,6,,,6v6,False,False,0.5,0.4666666667,7.0,0.0,1,1.0,center,perimeter,skip,right,8,6,post/bar,IMG_4567.MOV,00:35,6-8,6-8|MU0,6-8|1
6_P0009,6,,,6v6,False,False,0.5,0.2,3.0,0.0,1,0.5,center,broken play,skip,right,10,4,goal,IMG_4571.MOV,00:36,2-4,2-4|MU0,2-4|1
6_P0010,6,,,6v6,False,False,0.5,0.4,6.0,0.0,1,1.0,center,perimeter,skip,right,15,2,blocked (GK),IMG_4572.MOV,00:55,4-6,4-6|MU0,4-6|1
6_P0013,6,,,6v6,False,False,0.6,0.6,9.22,12.53,1,1.5,center,perimeter,skip,right,11,2,goal,IMG_4581.MOV,00:30,8-10,8-10|MU0,8-10|1
6_P0016,6,,,6v6,False,False,0.3,0.4,7.211,-33.69,0,0.5,left,perimeter,lob,right,12,2,blocked (GK),IMG_4587.MOV,00:22,6-8,6-8|MU0,6-8|0
6_P0018,6,,,6v6,False,False,0.5,0.2,3.0,0.0,1,1.0,center,set,tip/deflection,right,10,4,missed,IMG_4588.MOV,00:33,2-4,2-4|MU0,2-4|1
6_P0019,6,,,6v6,False,False,0.5,0.1333333333,2.0,0.0,1,0.5,center,broken play,tip/deflection,right,11,1,goal,IMG_4590.MOV,00:05,0-2,0-2|MU0,0-2|1
6_P0020,6,,,6v6,False,False,0.25,0.1333333333,5.385,-68.2,1,0.5,left,perimeter,standard,right,11,4,post/bar,IMG_4592.MOV,00:21,4-6,4-6|MU0,4-6|1
6_P0021,6,,,6v6,False,False,0.3,0.3333333333,6.403,-38.66,1,1.0,left,counter,standard,right,11,0,blocked (GK),IMG_4594.MOV,00:11,6-8,6-8|MU0,6-8|1
6_P0024,6,,,6v6,False,False,0.6,0.2666666667,4.472,26.57,1,1.5,right,set,backhand,right,10,4,missed,IMG_4600.MOV,00:18,4-6,4-6|MU0,4-6|1
6_P0025,6,,,6v6,False,False,0.6,0.4,6.325,18.43,1,1.0,right,perimeter,standard,right,15,5,blocked (GK),IMG_4611.MOV,00:23,6-8,6-8|MU0,6-8|1
7_P0003,7,,,6v6,False,False,0.2,0.133333,6.325,-71.57,1,0.5,center,perimeter,standard,left,3,7,goal,IMG_5620.MOV,00:33,6-8,6-8|MU0,6-8|1
7_P0004,7,,,6v6,False,False,0.65,0.466667,7.616,23.2,1,0.5,center,perimeter,lob,right,11,2,post/bar,IMG_5622.MOV,00:21,6-8,6-8|MU0,6-8|1
7_P0008,7,,,6v6,False,False,0.8,0.133333,6.325,71.57,1,0.0,right,perimeter,standard,right,2,6,blocked (GK),IMG_5634.MOV,00:45,6-8,6-8|MU0,6-8|1
7_P0009,7,,,6v6,False,False,0.3,0.133333,4.472,-63.44,1,0.5,center,counter,standard,right,6,1,goal,IMG_5635.MOV,00:26,4-6,4-6|MU0,4-6|1
7_P0013,7,,,6v6,False,False,0.5,0.6,9.0,0.0,1,1.0,center,broken play,standard,right,8,2,missed,IMG_5645.MOV,00:29,8-10,8-10|MU0,8-10|1
7_P0014,7,,,6v6,False,False,0.4,0.133333,2.828,-45.0,0,1.0,left,broken play,standard,right,2,2,blocked (GK),IMG_5652.MOV,00:13,2-4,2-4|MU0,2-4|0
7_P0015,7,,,6v6,False,False,0.3,0.2,5.0,-53.13,1,1.0,left,broken play,standard,right,2,2,blocked (GK),IMG_5652.MOV,00:45,4-6,4-6|MU0,4-6|1
7_P0016,7,,,6v6,False,False,0.3,0.4,7.211,-33.69,1,1.0,left,perimeter,lob,left,3,2,missed,IMG_5656.MOV,00:17,6-8,6-8|MU0,6-8|1
7_P0017,7,,,6v6,False,False,0.4,0.266667,4.472,-26.57,2,1.0,left,set,skip,right,10,2,goal,IMG_5658.MOV,00:23,4-6,4-6|MU0,4-6|2
7_P0019,7,,,other,False,False,0.5,0.333333,5.0,0.0,0,0.0,center,5m penalty,standard,right,10,0,goal,IMG_5660.MOV,00:05,4-6,4-6|MU0,4-6|0
7_P0021,7,,,6v5,True,False,0.45,0.4,6.083,-9.46,1,0.5,center,man-up,standard,right,11,6,goal,IMG_5662.MOV,00:34,6-8,6-8|MU1,6-8|1
7_P0022,7,,,6v6,False,False,0.4,0.2,3.606,-33.69,2,0.5,left,counter,skip,right,10,6,goal,IMG_5667.MOV,00:13,2-4,2-4|MU0,2-4|2
7_P0023,7,,,6v6,False,False,0.55,0.2,3.162,18.43,1,1.5,right,set,backhand,right,10,6,goal,IMG_5669.MOV,00:24,2-4,2-4|MU0,2-4|1
7_P0024,7,,,6v5,True,False,0.35,0.4,6.708,-26.57,0,0.5,right,man-up,standard,right,11,2,post/bar,IMG_5671.MOV,00:26,6-8,6-8|MU1,6-8|0
7_P0025,7,,,6v5,True,False,0.55,0.133333,2.236,26.57,2,0.5,left,man-up,punch/volley,right,10,3,goal,IMG_5673.MOV,00:26,2-4,2-4|MU1,2-4|2
7_P0026,7,,,6v6,False,False,0.4,0.2,3.606,-33.69,1,1.0,left,counter,skip,right,2,3,blocked (GK),IMG_5675.MOV,00:24,2-4,2-4|MU0,2-4|1
7_P0027,7,,,6v6,False,False,0.45,0.466667,7.071,-8.13,1,1.0,center,perimeter,standard,right,6,4,field block,IMG_5676.MOV,00:29,6-8,6-8|MU0,6-8|1
7_P0028,7,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.0,center,5m penalty,standard,right,2,0,goal,IMG_5678.MOV,00:04,4-6,4-6|MU0,4-6|0
7_P0029,7,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.0,center,5m penalty,standard,right,10,0,blocked (GK),IMG_5680.MOV,00:05,4-6,4-6|MU0,4-6|0
7_P0030,7,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.0,center,5m penalty,standard,right,11,0,goal,IMG_5682.MOV,00:02,4-6,4-6|MU0,4-6|0
7_P0031,7,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.0,center,5m penalty,skip,right,7,0,goal,IMG_5684.MOV,00:09,4-6,4-6|MU0,4-6|0
7_P0032,7,,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.0,center,5m penalty,skip,right,15,0,goal,IMG_5686.MOV,00:05,4-6,4-6|MU0,4-6|0
8_P0001,8,1,,6v6,False,False,0.6,0.133333,2.828,45.0,0,0.5,right,counter,standard,right,2,0,goal,IMG_3689.MOV,00:34,2-4,2-4|MU0,2-4|0
8_P0002,8,1,,6v6,False,False,0.4,0.133333,2.828,-45.0,1,0.5,left,counter,standard,right,13,0,goal,IMG_3692.MOV,00:15,2-4,2-4|MU0,2-4|1
8_P0003,8,1,,6v6,False,False,0.6,0.133333,2.828,45.0,0,1.0,right,counter,standard,right,2,2,goal,IMG_3694.MOV,00:27,2-4,2-4|MU0,2-4|0
8_P0004,8,1,,6v6,False,False,0.6,0.2,3.606,33.69,1,0.5,left,counter,standard,right,10,2,goal,IMG_3695.MOV,00:48,2-4,2-4|MU0,2-4|1
8_P0005,8,1,,6v6,False,False,0.6,0.133333,2.828,45.0,0,0.5,center,drive,standard,right,15,7,blocked (GK),IMG_3696.MOV,00:51,2-4,2-4|MU0,2-4|0
8_P0006,8,1,,6v6,False,False,0.5,0.266667,4.0,0.0,2,0.5,center,counter,skip,right,4,0,goal,IMG_3697.MOV,00:36,2-4,2-4|MU0,2-4|2
8_P0007,8,1,,6v6,False,False,0.6,0.133333,2.828,45.0,1,0.5,right,drive,standard,right,4,4,post/bar,IMG_3698.MOV,00:36,2-4,2-4|MU0,2-4|1
8_P0008,8,2,,6v6,False,False,0.6,0.133333,2.828,45.0,1,0.5,right,set,standard,right,4,4,goal,IMG_3700.MOV,00:26,2-4,2-4|MU0,2-4|1
8_P0009,8,2,,6v6,False,False,0.4,0.2,3.606,-33.69,2,0.5,left,set,standard,right,4,1,goal,IMG_3702.MOV,00:40,2-4,2-4|MU0,2-4|2
8_P0010,8,2,,6v6,False,False,0.4,0.2,3.606,-33.69,1,0.5,left,set,standard,right,15,5,goal,IMG_3704.MOV,00:19,2-4,2-4|MU0,2-4|1
8_P0011,8,2,,6v6,False,False,0.4,0.133333,2.828,-45.0,0,0.5,left,counter,standard,right,4,1,goal,IMG_3706.MOV,00:41,2-4,2-4|MU0,2-4|0
8_P0012,8,2,,6v6,False,False,0.35,0.2,4.243,-45.0,0,0.5,left,set,standard,right,8,7,goal,IMG_3707.MOV,00:59,4-6,4-6|MU0,4-6|0
8_P0013,8,2,,6v6,False,False,0.4,0.2,3.606,-33.69,1,0.5,left,drive,lob,right,22,1,goal,IMG_3709.MOV,00:11,2-4,2-4|MU0,2-4|1
8_P0014,8,3,,6v6,False,False,0.5,0.133333,2.0,0.0,1,0.5,center,counter,standard,right,20,1,goal,IMG_3713.MOV,00:25,0-2,0-2|MU0,0-2|1
8_P0015,8,3,,6v6,False,False,0.55,0.2,3.162,18.43,0,1.0,right,counter,skip,right,8,1,goal,IMG_3714.MOV,00:24,2-4,2-4|MU0,2-4|0
8_P0016,8,3,,6v6,False,False,0.5,0.2,3.0,0.0,1,0.5,center,broken play,standard,right,20,1,goal,IMG_3716.MOV,00:23,2-4,2-4|MU0,2-4|1
8_P0017,8,3,,6v6,False,False,0.3,0.2,5.0,-53.13,1,0.5,left,set,lob,right,5,1,missed,IMG_3717.MOV,00:54,4-6,4-6|MU0,4-6|1
8_P0018,8,3,,6v6,False,False,0.4,0.2,3.606,-33.69,0,1.5,left,counter,standard,right,5,2,goal,IMG_3719.MOV,00:27,2-4,2-4|MU0,2-4|0
8_P0019,8,4,,6v6,False,False,0.6,0.333333,5.385,21.8,0,0.0,right,broken play,standard,right,16,1,missed,IMG_3726.MOV,00:12,4-6,4-6|MU0,4-6|0
8_P0020,8,4,,6v6,False,False,0.5,0.333333,5.0,0.0,0,0.0,right,5m penalty,standard,right,15,0,goal,IMG_3730.MOV,00:03,4-6,4-6|MU0,4-6|0
8_P0021,8,4,,6v6,False,False,0.65,0.066667,3.162,71.56,1,1.0,right,set,standard,right,13,2,goal,IMG_3731.MOV,00:31,2-4,2-4|MU0,2-4|1
8_P0022,8,4,,6v6,False,False,0.45,0.533333,8.062,-7.13,1,0.5,right,perimeter,standard,right,10,2,post/bar,IMG_3733.MOV,00:13,8-10,8-10|MU0,8-10|1
8_P0023,8,4,,6v6,False,False,0.35,0.066667,3.162,-71.56,1,1.0,left,perimeter,lob,right,8,6,post/bar,IMG_3734.MOV,00:44,2-4,2-4|MU0,2-4|1
9_P0001,9,,,6v6,False,False,0.65,0.533333,8.544,20.56,1,1.0,right,perimeter,standard,right,5,2,missed,IMG_1525.MOV,00:24,8-10,8-10|MU0,8-10|1
9_P0002,9,,,6v6,True,False,0.5,0.4,6.0,0.0,1,1.0,center,man-up,skip,right,5,9,goal,IMG_1531.MOV,00:45,4-6,4-6|MU1,4-6|1
9_P0003,9,,,6v6,False,False,0.65,0.133333,3.606,56.31,1,0.5,center,counter,standard,right,15,1,goal,IMG_1540.MOV,00:06,2-4,2-4|MU0,2-4|1
9_P0004,9,,,6v6,False,False,0.7,0.266667,5.657,45.0,1,0.5,left,perimeter,standard,right,14,6,post/bar,IMG_1543.MOV,01:10,4-6,4-6|MU0,4-6|1
9_P0005,9,,,6v6,False,False,0.35,0.2,4.243,-45.0,1,1.0,left,drive,standard,right,15,6,field block,IMG_1552.MOV,00:34,4-6,4-6|MU0,4-6|1
9_P0006,9,,,6v5,True,False,0.55,0.333333,5.099,11.31,1,1.0,center,man-up,standard,right,5,4,blocked (GK),IMG_1553.MOV,00:45,4-6,4-6|MU1,4-6|1
9_P0007,9,,,6v6,False,False,0.25,0.266667,6.403,-51.34,1,0.5,left,perimeter,skip,right,3,4,blocked (GK),IMG_1555.MOV,00:15,6-8,6-8|MU0,6-8|1
